,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Continent,Country,Alpha-3 code,Lat,Long
120,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M,Europe,Romania,ROU,46,25
121,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M,Americas,United States,USA,38,-97
122,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M,Americas,United States,USA,38,-97
123,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,Europe,United Kingdom,GBR,54,-2
124,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M,Europe,Spain,ESP,40,-4
125,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L,Americas,United States,USA,38,-97
126,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S,Americas,United States,USA,38,-97
127,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S,Asia,India,IND,20,77
128,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,Asia,India,IND,20,77
129,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,Asia,India,IND,20,77
130,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,Asia,Iraq,IRQ,33,44
131,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M,Europe,France,FRA,46,2
132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,Americas,United States,USA,38,-97
133,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,Americas,Brazil,BRA,-10,-55
134,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S,Americas,United States,USA,38,-97
135,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M,Americas,United States,USA,38,-97
136,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S,Asia,Japan,JPN,36,138
137,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S,Asia,Japan,JPN,36,138
138,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L,Americas,United States,USA,38,-97
139,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M,Americas,United States,USA,38,-97
140,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L,Americas,United States,USA,38,-97
141,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L,Americas,United States,USA,38,-97
142,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L,Americas,United States,USA,38,-97
143,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S,Americas,United States,USA,38,-97
144,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L,Americas,United States,USA,38,-97
145,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,Europe,Belgium,BEL,50.8333,4
146,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M,Europe,France,FRA,46,2
147,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,Americas,United States,USA,38,-97
148,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,Americas,United States,USA,38,-97
149,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,Americas,United States,USA,38,-97
150,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S,Asia,Japan,JPN,36,138
151,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,Americas,United States,USA,38,-97
152,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,Americas,Canada,CAN,60,-95
153,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,Europe,Ukraine,UKR,49,32
154,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L,Americas,United States,USA,38,-97
155,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,Americas,Canada,CAN,60,-95
156,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M,Asia,Israel,ISR,31.5,34.75
157,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,Americas,United States,USA,38,-97
158,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M,Americas,United States,USA,38,-97
159,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S,Americas,United States,USA,38,-97
160,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L,Asia,Russia,RUS,60,100
161,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M,Asia,Russia,RUS,60,100
162,2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L,Europe,Malta,MLT,35.8333,14.5833
163,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,Europe,Germany,DEU,51,9
164,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M,Europe,Germany,DEU,51,9
165,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L,Americas,United States,USA,38,-97
166,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L,Americas,United States,USA,38,-97
167,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L,Americas,United States,USA,38,-97
168,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S,Americas,United States,USA,38,-97
169,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L,Americas,United States,USA,38,-97
170,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L,Americas,United States,USA,38,-97
171,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L,Europe,United Kingdom,GBR,54,-2
172,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S,Americas,United States,USA,38,-97
173,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L,Americas,United States,USA,38,-97
174,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L,Europe,Portugal,PRT,39.5,-8
175,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L,Americas,United States,USA,38,-97
176,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S,Americas,Mexico,MEX,23,-102
177,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L,Americas,Chile,CHL,-30,-71
178,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S,Americas,United States,USA,38,-97
179,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S,Americas,United States,USA,38,-97
180,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,Asia,India,IND,20,77
181,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Europe,Germany,DEU,51,9
182,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L,Americas,United States,USA,38,-97
183,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
184,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,Asia,Pakistan,PAK,30,70
185,2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M,Asia,Iran,IRN,32,53
186,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,Europe,United Kingdom,GBR,54,-2
187,2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,Europe,Spain,ESP,40,-4
188,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S,Europe,United Kingdom,GBR,54,-2
189,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,Asia,Japan,JPN,36,138
190,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L,Europe,France,FRA,46,2
191,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,Americas,Colombia,COL,4,-72
192,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S,Europe,Moldova,MDA,47,29
193,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L,Americas,United States,USA,38,-97
194,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L,Americas,Canada,CAN,60,-95
195,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L,Americas,United States,USA,38,-97
196,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S,Africa,Kenya,KEN,1,38
197,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,Asia,India,IND,20,77
198,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L,Americas,United States,USA,38,-97
199,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S,Americas,United States,USA,38,-97
200,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M,Europe,Austria,AUT,47.3333,13.3333
201,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,Americas,United States,USA,38,-97
202,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L,Europe,Spain,ESP,40,-4
203,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S,Americas,United States,USA,38,-97
204,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L,Americas,United States,USA,38,-97
205,2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S,Americas,Brazil,BRA,-10,-55
206,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L,Americas,United States,USA,38,-97
207,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,Americas,United States,USA,38,-97
208,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L,Americas,United States,USA,38,-97
209,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L,Americas,United States,USA,38,-97
210,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L,Europe,Slovenia,SVN,46,15
211,2021,MI,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S,Europe,France,FRA,46,2
212,2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S,Europe,United Kingdom,GBR,54,-2
213,2021,EN,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L,Europe,Switzerland,CHE,47,8
214,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M,Europe,Germany,DEU,51,9
215,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L,Americas,United States,USA,38,-97
216,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S,Europe,Denmark,DNK,56,10
217,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Europe,Germany,DEU,51,9
218,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M,Europe,Belgium,BEL,50.8333,4
219,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L,Americas,United States,USA,38,-97
220,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L,Europe,Poland,POL,52,20
221,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
222,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M,Asia,India,IND,20,77
223,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
224,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,Americas,Canada,CAN,60,-95
225,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S,Americas,United States,USA,38,-97
226,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S,Americas,Canada,CAN,60,-95
227,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L,Europe,Germany,DEU,51,9
228,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L,Americas,United States,USA,38,-97
229,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M,Americas,Canada,CAN,60,-95
230,2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L,Asia,India,IND,20,77
231,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S,Americas,United States,USA,38,-97
232,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L,Americas,United States,USA,38,-97
233,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L,Americas,United States,USA,38,-97
234,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L,Americas,United States,USA,38,-97
235,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S,Americas,United States,USA,38,-97
236,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M,Americas,Canada,CAN,60,-95
237,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M,Europe,Spain,ESP,40,-4
238,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M,Asia,Vietnam,VNM,16,106
239,2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M,Asia,India,IND,20,77
240,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L,Americas,Canada,CAN,60,-95
241,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L,Americas,United States,USA,38,-97
242,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Americas,United States,USA,38,-97
243,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L,Americas,United States,USA,38,-97
244,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S,Oceania,American Samoa,ASM,-14.3333,-170
245,2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
246,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L,Europe,France,FRA,46,2
247,2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M,Asia,Turkey,TUR,39,35
248,2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
249,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M,Americas,United States,USA,38,-97
250,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L,Americas,United States,USA,38,-97
251,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S,Americas,United States,USA,38,-97
252,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L,Americas,United States,USA,38,-97
253,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M,Asia,India,IND,20,77
254,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L,Americas,United States,USA,38,-97
